iata,name,country,latitude,longitude
CAP,Cap Haitien International Airport,HT,19.725547,-72.200710
CAT,Cascais Airport,PT,38.724998,-9.355230
CAU,Caruaru Airport,BR,-8.282390,-36.013500
CAW,Bartolomeu Lisandro Airport,BR,-21.698299,-41.301701
CAY,Cayenne – Félix Eboué Airport,GF,4.819964,-52.361326
CAZ,Cobar Airport,AU,-31.538300,145.794006
CBB,Jorge Wilsterman International Airport,BO,-17.421105,-66.177102
CBH,Béchar Boudghene Ben Ali Lotfi Airport,DZ,31.645700,-2.269860
CBO,Cotabato (Awang) Airport,PH,7.164753,124.209938
CBQ,Margaret Ekpo International Airport,NG,4.976020,8.347200
CBR,Canberra Airport,AU,-35.306900,149.195007
CBT,Catumbela Airport,AO,-12.479200,13.486900
CCA,Chimore Airport,BO,-16.976834,-65.145568
CCC,Jardines Del Rey Airport,CU,22.461000,-78.328400
CCE,Capital International Airport,EG,30.064650,31.839974
CCF,Carcassonne Salvaza Airport,FR,43.216000,2.306320
CCJ,Calicut International Airport,IN,11.135996,75.955152
CCK,Cocos (Keeling) Islands Airport,CC,-12.192218,96.834103
CCP,Carriel Sur International Airport,CL,-36.772350,-73.062828
CCR,Buchanan Field,US,37.989700,-122.056999
CCS,Maiquetía Simón Bolívar International Airport,VE,10.602214,-66.991174
CCU,Netaji Subhash Chandra Bose International Airport,IN,22.654012,88.447650
CCV,Craig Cove Airport,VU,-16.264999,167.923996
CCZ,Chub Cay Airport,BS,25.417101,-77.880898
CDB,Cold Bay Airport,US,55.207871,-162.725029
CDC,Cedar City Regional Airport,US,37.701000,-113.098999
CDE,Chengde Puning Airport,CN,41.122500,118.073889
CDG,Charles de Gaulle International Airport,FR,49.008960,2.554117
CDP,Kadapa Airport,IN,14.513154,78.769183
CDR,Chadron Municipal Airport,US,42.837601,-103.095001
CDT,Castellón-Costa Azahar Airport,ES,40.213889,0.073333
CDV,Merle K (Mudhole) Smith Airport,US,60.491798,-145.477997
CEB,Mactan Cebu International Airport,PH,10.309261,123.979740
CEC,Jack Mc Namara Field Airport,US,41.778929,-124.236403
CED,Ceduna Airport,AU,-32.130600,133.710007
CEE,Cherepovets Airport,RU,59.273602,38.015800
CEI,Mae Fah Luang - Chiang Rai International Airport,TH,19.952299,99.882896
CEK,Kurchatov Chelyabinsk International Airport,RU,55.303141,61.504927
CEL,Canela Airport,BR,-29.370091,-50.831729
CEM,Central Airport,US,65.573815,-144.780707
CEN,Ciudad Obregón International Airport,MX,27.392599,-109.833000
CEZ,Cortez Municipal Airport,US,37.303001,-108.627998
CFB,Cabo Frio Airport,BR,-22.921485,-42.071874
CFE,Clermont-Ferrand Auvergne airport,FR,45.786701,3.169170
CFG,Jaime Gonzalez Airport,CU,22.150000,-80.414200
CFK,Chlef Aboubakr Belkaid International Airport,DZ,36.216614,1.341114
CFN,Donegal Airport,IE,55.044201,-8.341000
CFR,Caen Carpiquet airport,FR,49.176780,-0.454883
CFS,Coffs Harbour Airport,AU,-30.320601,153.115997
CFU,Corfu Ioannis Kapodistrias International Airport,GR,39.601450,19.912179
CGA,Craig Seaplane Base,US,55.478802,-133.147995
CGB,Várzea Grande–Marechal Rondon International Airport,BR,-15.652900,-56.116699
CGD,Changde Taohuayuan Airport,CN,28.918900,111.639999
CGH,Congonhas–Deputado Freitas Nobre Airport,BR,-23.627657,-46.654601
CGI,Cape Girardeau Regional Airport,US,37.225300,-89.570801
CGK,Soekarno-Hatta International Airport,ID,-6.125570,106.655998
CGM,Camiguin Airport,PH,9.253894,124.709115
CGN,Cologne Bonn Airport,DE,50.865898,7.142740
CGO,Zhengzhou Xinzheng International Airport,CN,34.526497,113.849165
CGP,Shah Amanat International Airport,BD,22.249599,91.813301
CGQ,Changchun Longjia International Airport,CN,43.996201,125.684998
CGR,Campo Grande Airport,BR,-20.469998,-54.673988
CGY,Laguindingan International Airport,PH,8.612203,124.456496
CHA,Chattanooga Metropolitan Airport (Lovell Field),US,35.035301,-85.203796
CHC,Christchurch International Airport,NZ,-43.489029,172.532065
CHE,Tallinn Linnahall Heliport,EE,59.448015,24.753313
CHG,Chaoyang Airport,CN,41.538101,120.434998
CHH,Chachapoyas Airport,PE,-6.201911,-77.856195
CHM,FAP Lieutenant Jaime Andres de Montreuil Morales Airport,PE,-9.149610,-78.523804
CHO,Charlottesville Albemarle Airport,US,38.138599,-78.452904
CHQ,Chania International Airport,GR,35.531207,24.150673
CHS,Charleston International Airport,US,32.896159,-80.038151
CHT,Inia William Tuuta Memorial Airport,NZ,-43.811890,-176.465140
CHU,Chuathbaluk Airport,US,61.579102,-159.216003
CHX,Changuinola Captain Manuel Niño International Airport,PA,9.458962,-82.515062
CHY,Choiseul Bay Airport,SB,-6.711944,156.396111
CIA,Ciampino–G. B. Pastine International Airport,IT,41.798769,12.595331
CID,The Eastern Iowa Airport,US,41.884701,-91.710800
CIF,Chifeng Yulong Airport,CN,42.159723,118.840971
CIH,Changzhi Wangcun Airport,CN,36.247501,113.125999
CIJ,Capitán Aníbal Arab Airport,BO,-11.039109,-68.782774
CIK,Chalkyitsik Airport,US,66.644997,-143.740005
CIT,Shymkent International Airport,KZ,42.365021,69.475640
CIU,Chippewa County International Airport,US,46.242038,-84.462082
CIW,Canouan Airport,VC,12.699000,-61.342400
CIX,Capitán FAP José A. Quiñones González International Airport,PE,-6.789223,-79.828254
CIY,Comiso Airport,IT,36.995830,14.608890
CJA,Mayor General FAP Armando Revoredo Iglesias Airport,PE,-7.139180,-78.489403
CJB,Coimbatore International Airport,IN,11.030000,77.043404
CJC,El Loa Airport,CL,-22.498199,-68.903603
CJJ,Cheongju International Airport/Cheongju Air Base (K-59/G-513),KR,36.715560,127.500289
CJL,Chitral Airport,PK,35.886213,71.799922
CJM,Chumphon Airport,TH,10.711200,99.361702
CJN,Nusawiru Airport,ID,-7.719895,108.488995
CJS,Abraham González International Airport,MX,31.636673,-106.428533
CJU,Jeju International Airport,KR,33.512058,126.492548
CJZ,Pedro Vieira Moreira Airport,BR,-6.882700,-38.615830
CKB,North Central West Virginia Airport,US,39.296600,-80.228104
CKD,Crooked Creek Airport,US,61.870315,-158.137636
CKG,Chongqing Jiangbei International Airport,CN,29.712254,106.651895
CKH,Chokurdakh Airport,RU,70.623100,147.901993
CKS,Carajás Airport,BR,-6.117841,-50.003372
CKW,Christmas Creek Airport,AU,-22.354302,119.642603
CKX,Chicken Airport,US,64.066495,-141.951342
CKY,Ahmed Sékou Touré International Airport,GN,9.576890,-13.612000
CKZ,Çanakkale Airport,TR,40.137699,26.426800
CLD,McClellan-Palomar Airport,US,33.128300,-117.279999
CLE,Cleveland Hopkins International Airport,US,41.411701,-81.849800
CLJ,Avram Iancu Cluj International Airport,RO,46.786042,23.685733
CLL,Easterwood Field,US,30.588600,-96.363800
CLO,Alfonso Bonilla Aragon International Airport,CO,3.542717,-76.381898
CLP,Clarks Point Airport,US,58.833698,-158.529007
CLQ,Licenciado Miguel de la Madrid International Airport,MX,19.277000,-103.577002
CLT,Charlotte Douglas International Airport,US,35.214001,-80.943100
CLV,Nelson Ribeiro Guimarães Airport,BR,-17.725096,-48.606324
CLY,Calvi Sainte Catherine Airport,FR,42.530422,8.792984
CMA,Cunnamulla Airport,AU,-28.030001,145.621994
CMB,Bandaranaike International Colombo Airport,LK,7.180760,79.884102
CME,Ciudad del Carmen International Airport,MX,18.651516,-91.799355
CMF,Chambéry Aix les Bains airport,FR,45.638100,5.880230
CMG,Corumbá International Airport,BR,-19.011930,-57.672772
CMH,John Glenn Columbus International Airport,US,39.998001,-82.891899
CMI,University of Illinois Willard Airport,US,40.039819,-88.276249
CMN,Mohammed V International Airport,MA,33.367500,-7.589970
CMU,Chimbu Airport,PG,-6.024290,144.970993
CMW,Ignacio Agramonte International Airport,CU,21.419909,-77.848039
CMX,Houghton County Memorial Airport,US,47.168400,-88.489098
CNB,Coonamble Airport,AU,-30.980946,148.377833
CNC,Coconut Island Airport,AU,-10.050139,143.070007
CND,Mihail Kogălniceanu International Airport,RO,44.362202,28.488300
CNF,Tancredo Neves International Airport,BR,-19.635710,-43.966928
CNI,Changhai Dachangshandao Airport,CN,39.266441,122.666960
CNJ,Cloncurry Airport,AU,-20.668600,140.503998
CNM,Cavern City Air Terminal,US,32.337502,-104.263000
CNN,Kannur International Airport,IN,11.916343,75.544979
CNP,Neerlerit Inaat Airport,GL,70.743103,-22.650499
CNQ,Corrientes Airport,AR,-27.445500,-58.761900
CNS,Cairns International Airport,AU,-16.878921,145.749480
CNX,Chiang Mai International Airport,TH,18.766800,98.962601
CNY,Canyonlands Regional Airport,US,38.755001,-109.754997
COD,Yellowstone Regional Airport,US,44.520199,-109.024002
COK,Cochin International Airport,IN,10.151047,76.400838
COL,Coll Airport,GB,56.601898,-6.617780
COO,Cotonou Cadjehoun International Airport,BJ,6.357230,2.384350
COQ,Choibalsan Airport,MN,48.135381,114.647231
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,AR,-31.312346,-64.208329
COS,City of Colorado Springs Municipal Airport,US,38.805801,-104.700996
COU,Columbia Regional Airport,US,38.818100,-92.219597
COV,Çukurova International Airport,TR,36.891478,35.071235
CPC,Aviador C. Campos Airport,AR,-40.075401,-71.137299
CPD,Coober Pedy Airport,AU,-29.038312,134.722166
CPE,Ingeniero Alberto Acuña Ongay International Airport,MX,19.815969,-90.500125
CPH,Copenhagen Kastrup Airport,DK,55.617901,12.656000
CPO,Desierto de Atacama Airport,CL,-27.261200,-70.779198
CPR,Casper-Natrona County International Airport,US,42.907381,-106.461609
CPT,Cape Town International Airport,ZA,-33.974030,18.604333
CPV,Presidente João Suassuna Airport,BR,-7.269662,-35.896057
CPX,Benjamin Rivera Noriega Airport,PR,18.312954,-65.303893
CQW,Chongqing Xiannüshan Airport,CN,29.465658,107.693664
CRA,Craiova International Airport,RO,44.318100,23.888599
CRD,General Enrique Mosconi International Airport,AR,-45.786941,-67.463355
CRI,Colonel Hill Airport,BS,22.745600,-74.182404
CRK,Clark International Airport / Clark Air Base,PH,15.186000,120.559998
CRL,Brussels South Charleroi Airport,BE,50.461963,4.459562
CRM,Catarman National Airport,PH,12.501610,124.635258
CRP,Corpus Christi International Airport,US,27.770399,-97.501198
CRU,Lauriston Airport,GD,12.476100,-61.472801
CRV,Crotone Sant'Anna Pythagoras Airport,IT,38.997200,17.080200
CRW,Yeager Airport,US,38.373100,-81.593201
CRZ,Türkmenabat International Airport,TM,38.930662,63.563982
CSA,Colonsay Airstrip,GB,56.057499,-6.243060
CSG,Columbus Airport,US,32.516415,-84.939602
CSH,Solovki Airport,RU,65.029996,35.730558
CSK,Cap Skirring Airport,SN,12.395330,-16.748000
CSW,Cabo San Lucas International Airport,MX,22.949072,-109.939479
CSX,Changsha Huanghua International Airport,CN,28.189199,113.220001
CSY,Cheboksary Airport,RU,56.090302,47.347301
CTA,Catania-Fontanarossa Airport,IT,37.466801,15.066400
CTC,Coronel Felipe Varela International Airport,AR,-28.593117,-65.751200
CTD,Alonso Valderrama Airport,PA,7.987840,-80.409837
CTG,Rafael Nuñez International Airport,CO,10.442400,-75.513000
CTL,Charleville Airport,AU,-26.413300,146.261993
CTM,Chetumal International Airport,MX,18.504985,-88.328018
CTN,Cooktown Airport,AU,-15.443649,145.183221
CTS,New Chitose Airport,JP,42.774753,141.690414
CTU,Chengdu Shuangliu International Airport,CN,30.558257,103.945966
CUA,Ciudad Constitución National Airport,MX,25.053801,-111.614998
CUC,Camilo Daza International Airport,CO,7.927570,-72.511500
CUE,Mariscal Lamar Airport,EC,-2.889470,-78.984398
CUF,Cuneo International Airport,IT,44.547458,7.623045
CUK,Caye Caulker Airport,BZ,17.735015,-88.032862
CUL,Bachigualato Federal International Airport,MX,24.765040,-107.475228
CUM,Antonio José de Sucre Airport,VE,10.450333,-64.130470
CUN,Cancún International Airport,MX,21.040817,-86.873470
CUP,General Francisco Bermúdez Airport,VE,10.660014,-63.261681
CUQ,Coen Airport,AU,-13.761133,143.113311
CUR,Hato International Airport,CW,12.188900,-68.959801
CUU,General Roberto Fierro Villalobos International Airport,MX,28.702649,-105.963764
CUZ,Alejandro Velasco Astete International Airport,PE,-13.535700,-71.938797
CVG,Cincinnati Northern Kentucky International Airport,US,39.048801,-84.667801
CVM,General Pedro Jose Mendez International Airport,MX,23.703300,-98.956497
CVN,Clovis Municipal Airport,US,34.426594,-103.078794
CVQ,Carnarvon Airport,AU,-24.884337,113.666393
CVU,Corvo Airport,PT,39.671501,-31.113600
CWA,Central Wisconsin Airport,US,44.777448,-89.670238
CWB,Curitiba-Afonso Pena International Airport,BR,-25.528500,-49.175800
CWJ,Cangyuan Washan Airport,CN,23.276331,99.373169
CWL,Cardiff International Airport,GB,51.396702,-3.343330
CWS,Center Island Airport,US,48.490046,-122.831612
CXB,Cox's Bazar Airport,BD,21.457517,91.963263
CXH,Vancouver Harbour Water Aerodrome,CA,49.290739,-123.118541
CXI,Cassidy International Airport,KI,1.986278,-157.350011
CXJ,Hugo Cantergiani Regional Airport,BR,-29.197183,-51.187647
CXP,Tunggul Wulung Airport,ID,-7.645060,109.033997
CXR,Cam Ranh International Airport / Cam Ranh Air Base,VN,11.998200,109.219002
CYA,Antoine-Simon International Airport,HT,18.271099,-73.788300
CYB,Charles Kirkconnell International Airport,KY,19.687000,-79.882797
CYC,Caye Chapel Airport,BZ,17.683792,-88.044985
CYF,Chefornak Airport,US,60.136667,-164.279167
CYI,Chiayi Airport,TW,23.462577,120.390544
CYM,Chatham Seaplane Base,US,57.514900,-134.945999
CYO,Vilo Acuña International Airport,CU,21.616501,-81.545998
CYP,Calbayog Airport,PH,12.072574,124.545080
CYS,Cheyenne Regional Jerry Olson Field,US,41.155701,-104.811997
CYT,Yakataga Airport,US,60.080974,-142.494541
CYU,Cuyo Airport,PH,10.858100,121.069000
CYX,Cherskiy Airport,RU,68.740601,161.337997
CYZ,Cauayan Airport,PH,16.929899,121.752998
CZE,José Leonardo Chirinos Airport,VE,11.414944,-69.680901
CZH,Corozal Airport,BZ,18.382200,-88.411903
CZL,Mohamed Boudiaf International Airport,DZ,36.276001,6.620390
CZM,Cozumel International Airport,MX,20.514922,-86.928538
CZS,Cruzeiro do Sul Airport,BR,-7.599910,-72.769501
CZU,Las Brujas Airport,CO,9.332740,-75.285600
CZX,Changzhou Benniu International Airport,CN,31.920485,119.775460
DAB,Daytona Beach International Airport,US,29.182550,-81.059464
DAC,Hazrat Shahjalal International Airport,BD,23.843347,90.397783
DAD,Da Nang International Airport,VN,16.043900,108.198997
DAL,Dallas Love Field,US,32.844776,-96.847653
DAM,Damascus International Airport,SY,33.411499,36.515598
DAR,Julius Nyerere International Airport,TZ,-6.873499,39.207288
DAT,Datong Yungang International Airport,CN,40.061390,113.480509
DAU,Daru Airport,PG,-9.086760,143.207993
DAV,Enrique Malek International Airport,PA,8.388983,-82.436425
DAX,Dachuan Airport,CN,31.130200,107.429500
DAY,James M. Cox Dayton International Airport,US,39.902401,-84.219398
DBA,Dalbandin Airport,PK,28.878300,64.399803
DBB,El Alamein International Airport,EG,30.924324,28.461610
DBC,Baicheng Chang'an Airport,CN,45.505278,123.019722
DBM,Debre Markos Airport,ET,10.321501,37.741887
DBO,Dubbo City Regional Airport,AU,-32.216702,148.574997
DBQ,Dubuque Regional Airport,US,42.402000,-90.709503
DBR,Darbhanga Airport,IN,26.192801,85.916901
DBV,Dubrovnik Ruđer Bošković Airport,HR,42.562247,18.265543
DCA,Ronald Reagan Washington National Airport,US,38.852100,-77.037697
DCF,Canefield Airport,DM,15.336693,-61.392108
DCM,Castres Mazamet Airport,FR,43.556301,2.289180
DCY,Daocheng Yading Airport,CN,29.316320,100.060317
DDC,Dodge City Regional Airport,US,37.763401,-99.965599
DDG,Dandong Langtou International Airport,CN,40.025453,124.286690
DDR,Shigatse Tingri Airport,CN,28.604567,86.798000
DEA,Dera Ghazi Khan Airport,PK,29.961000,70.485901
DEB,Debrecen International Airport,HU,47.489469,21.616278
DEC,Decatur Airport,US,39.834599,-88.865700
DED,Dehradun Jolly Grant Airport,IN,30.189243,78.176651
DEE,Yuzhno-Kurilsk Mendeleyevo Airport,RU,43.961066,145.684977
DEF,Dezful Airport,IR,32.434399,48.397598
DEL,Indira Gandhi International Airport,IN,28.555630,77.095190
DEM,Dembidollo Airport,ET,8.554000,34.858002
DEN,Denver International Airport,US,39.860027,-104.673792
DEX,Nop Goliat Dekai Airport,ID,-4.855700,139.482006
DFW,Dallas Fort Worth International Airport,US,32.896801,-97.038002
DGA,Dangriga Airport,BZ,16.982510,-88.230988
DGH,Deoghar Airport,IN,24.446842,86.704955
DGO,General Guadalupe Victoria International Airport,MX,24.125468,-104.527938
DGT,Sibulan Airport,PH,9.334183,123.301910
DHB,Deer Harbor SPB,US,48.616667,-123.002778
DHM,Kangra Airport,IN,32.164902,76.263018
DHN,Dothan Regional Airport,US,31.321301,-85.449600
DHX,Dhoho International Airport,ID,-7.749527,111.946831
DIA,Doha International Airport,QA,25.259431,51.565528
DIB,Dibrugarh Airport,IN,27.483900,95.016899
DIE,Arrachart Airport,MG,-12.349400,49.291698
